State,Year,Days_CO,Days_NO2,Days_Ozone,Days_SO2,Days_PM2_5,Days_PM10
Arkansas,1990, -   ,7.89,123.56,62.24, -   ,171.3
Arkansas,1991,0.13,16.86,195.5,41.69,0.52,110.3
Arkansas,1992,5.47,35.16,165.44,49.48,9.66,99.78
Arkansas,1993,7.59,4.53,198.6,43.47,5.88,104.93
Arkansas,1994,5.78,7.87,203.04,40.83,5.04,102.44
Arkansas,1995,5.72,5.72,199.01,42.04,5.84,106.68
Arkansas,1996,5.5,6.39,194.91,43.48,5.12,109.6
Arkansas,1997,4.67,5.04,207.94,41.17,3.93,102.25
Arkansas,1998,11.04,5.75,246.71,92.88,6.81,1.82
Arkansas,1999,2.14,5.99,223.17,59.64,73.63,0.43
Arkansas,2000,0.11,0.22,161.29,31.18,172.09,0.11
Arkansas,2001, -   ,0.6,147.84,27.41,189.15, -   
Arkansas,2002,0.58,3.45,139.51,18.33,203.03,0.1
Arkansas,2003, -   ,1.08,138.13,25.93,199.85, -   
Arkansas,2004, -   ,0.65,155.38,26.53,182.45, -   
Arkansas,2005, -   ,5.28,161.73,25.7,172.29, -   
Arkansas,2006, -   ,8.63,161.09,28.1,167.18, -   
Arkansas,2007, -   ,6.42,173.44,26.38,158.67,0.1
Arkansas,2008, -   ,6.34,164.55,26.79,167.31, -   
Arkansas,2009, -   ,3.99,169.98,26.88,164.15, -   
Arkansas,2010, -   ,4.82,180.91,23.72,155.55, -   
Arkansas,2011, -   ,5.05,183.04,24.85,152.06, -   
Arkansas,2012, -   ,4.29,199.93,29.42,131.36, -   
Arkansas,2013, -   ,3.71,211.34,29.64,120.31, -   
Arkansas,2014, -   ,3.9,211.5,30.21,119.39, -   
Arkansas,2015, -   ,3.56,212.72,30.41,118.32, -   
Arkansas,2016, -   ,3.14,219.94,29.71,112.21, -   
Arkansas,2017, -   ,1.09,186.36, -   ,177.55, -   
Arkansas,2018, -   ,0.94,184.02, -   ,180.04, -   
Arkansas,2019,0.16,0.31,180.31, -   ,184.22, -   
California,1980,45.07,92.89,215.89,11.15, -   , -   
California,1981,47.24,86.65,222.95,8.16, -   , -   
California,1982,46.1,92.39,221.42,5.1, -   , -   
California,1983,43.04,90.03,227.61,4.31, -   , -   
California,1984,44.49,88.92,226.4,5.19, -   , -   
California,1985,38.64,85.35,237.27,3.04, -   ,0.7
California,1986,32.19,84.71,237.35,2.96, -   ,7.79
California,1987,35.75,76.06,230.6,1.53, -   ,21.06
California,1988,23.11,68.03,245.48,3.74,1.2,23.45
California,1989,30.88,66.01,236.55,4.13,2.04,25.39
California,1990,24.5,69.69,238.24,4.57,1.94,26.06
California,1991,19.94,69.34,249,3.93,1.8,20.99
California,1992,15.9,68.37,262.8,2.62,1.69,13.62
California,1993,14.16,71.6,264.18,0.76,1.7,12.6
California,1994,11.29,73.74,264.08,0.3,1.68,13.91
California,1995,8.34,68.18,265.3,3.3,2.14,17.75
California,1996,8.43,70.73,261.05,3.91,3.2,17.68
California,1997,9.23,68.26,255.3,3.81,2.85,25.55
California,1998,8.08,66.34,268.29,2.46,5.73,14.1
California,1999,3.47,52.46,249.32,3.36,41.74,14.65
California,2000,5.17,45.8,243.03,3.56,49.44,18.01
California,2001,3.46,38.56,246.87,3.16,54.03,18.92
California,2002,1.48,37.26,250.43,3.14,56.82,15.87
California,2003,1.15,36.21,260.44,2.6,54.4,10.2
California,2004,0.69,26.2,253.82,2.68,70.89,10.71
California,2005,0.86,26.22,251.33,0.28,76.55,9.76
California,2006,0.26,24.91,248.21,1.49,74.99,15.15
California,2007,0.24,19.71,241.39,0.73,91.49,11.44
California,2008,0.12,18.58,241.39,0.14,92.24,12.54
California,2009,0.2,13.12,238.47,0.06,99.3,13.85
California,2010,0.04,9.28,231.85,0.06,110.39,13.39
California,2011,0.18,7.29,208.48,0.1,136.48,12.48
California,2012,0.04,7.06,229.12,0.1,115.6,13.09
California,2013,0.21,5.53,204.33,0.18,135.31,19.45
California,2014, -   ,5.3,219.82,0.02,124.87,14.99
California,2015,0.04,5.75,227.68, -   ,116.72,14.81
California,2016, -   ,4.57,229.57, -   ,114.1,16.75
California,2017, -   ,3.91,218.43,0.02,124.83,17.81
California,2018,0.04,3.87,206.47,0.02,139.69,14.92
California,2019,0.5,3.3,247.46,0.07,99.5,14.18
Canada,1995, -   , -   ,365, -   , -   , -   
Canada,1996, -   , -   ,365, -   , -   , -   
Canada,1997, -   , -   ,365, -   , -   , -   
Canada,1998, -   , -   ,365, -   , -   , -   
Canada,1999, -   , -   ,365, -   , -   , -   
Canada,2000, -   , -   ,290.09, -   ,74.91, -   
Canada,2001, -   , -   ,269.17, -   ,95.83, -   
Canada,2002, -   ,71.11,97.22,167.78,28.89, -   
Canada,2003, -   ,87.42,72.5,183.95,21.13, -   
Canada,2004, -   ,104.82,136.54,97.84,25.8, -   
Canada,2005, -   ,150.29,131.78,43.68,39.24, -   
Canada,2006, -   , -   , -   , -   ,365, -   
Colorado,1980,178.4,40.04,137.71,8.85, -   , -   
Colorado,1981,151.84,51.12,144.22,17.83, -   , -   
Colorado,1982,160.6,35.5,150.63,18.27, -   , -   
Colorado,1983,136.59,59.85,155,13.56, -   , -   
Colorado,1984,134.26,60.22,156.9,13.62, -   , -   
Colorado,1985,108.37,44.74,133.12,4.85, -   ,73.92
Colorado,1986,64.62,40.14,128.94,5.25, -   ,126.05
Colorado,1987,73.99,37.86,176.51,5.67, -   ,70.97
Colorado,1988,38.21,43.43,132.86,30.34,10.71,109.46
Colorado,1989,34.32,28.51,133.89,30.69,11.62,125.96
Colorado,1990,33.18,15.43,162.03,26.07,11.02,117.28
Colorado,1991,31.46,32.12,145.47,13.52,10.65,131.78
Colorado,1992,27.01,38.24,116.77,10.48,10.68,161.83
Colorado,1993,28.34,33.78,125.03,11.47,7.94,158.42
Colorado,1994,26.1,38.57,125.5,11.01,9.99,153.83
Colorado,1995,26.31,42.42,126.32,6.98,10.11,152.86
Colorado,1996,25.04,31.96,142.09,7.52,11.24,147.15
Colorado,1997,26.56,30.59,138.47,7.33,13.06,149
Colorado,1998,22.49,30.29,147.22,5.07,10.96,148.99
Colorado,1999,22.53,20,142.62,4.4,29.47,145.97
Colorado,2000,16.69,18.97,142.66,3.66,47.06,135.96
Colorado,2001,12.73,21.86,135.59,5.01,54.5,135.31
Colorado,2002,9.65,13.29,149.06,4.97,47.29,140.74
Colorado,2003,7.99,14.49,156.31,1.4,47.2,137.62
Colorado,2004,8.85,13.82,162.5,1.22,49,129.61
Colorado,2005,2.76,12.85,168.11,0.51,43.13,137.65
Colorado,2006,1.32,13.14,166.32,0.41,40.9,142.91
Colorado,2007,0.98,11.01,205.93,0.18,32.85,114.04
Colorado,2008,1.97,6.09,209.05,0.14,35.29,112.47
Colorado,2009,0.6,4.86,234.77,0.47,27.7,96.59
Colorado,2010,1.04,9.25,235.94,0.5,27.98,90.3
Colorado,2011,0.56,10.08,248.72,0.28,22.6,82.76
Colorado,2012,0.08,10.64,253.78,0.52,19.3,80.67
Colorado,2013,0.12,9.99,263.06,1.24,20.87,69.72
Colorado,2014,0.04,9.06,259.49,1.29,23.43,71.7
Colorado,2015,0.04,11.78,253.45,1.14,24.69,73.91
Colorado,2016,0.04,10.89,247.42,0.75,31.27,74.62
Colorado,2017, -   ,8.41,259.64,0.12,33.85,62.98
Colorado,2018,0.04,7.79,264.39, -   ,39.62,53.16
Colorado,2019,0.62,7.63,273.4,0.23,33.54,49.57
Connecticut,1980,82.09,12.06,190.38,80.47, -   , -   
Connecticut,1981,76.27,21.25,194.13,73.36, -   , -   
Connecticut,1982,56.47,38.38,196.89,73.26, -   , -   
Connecticut,1983,58.53,35.96,197.76,72.75, -   , -   
Connecticut,1984,59.87,30.43,155.97,118.73, -   , -   
Connecticut,1985,48.23,35.59,166.65,112.98, -   ,1.56
Connecticut,1986,47.04,30.25,156.54,125.9, -   ,5.27
Connecticut,1987,45.7,30.07,170.29,110.54, -   ,8.4
Connecticut,1988,32.64,26.45,167.31,122.1, -   ,16.51
Connecticut,1989,31.68,32.04,158.56,107.55, -   ,35.17
Connecticut,1990,22.39,35.13,170.76,99.03, -   ,37.68
Connecticut,1991,26.55,23.69,188.22,96.34, -   ,30.2
Connecticut,1992,30.56,32.56,181.34,92.75, -   ,27.78
Connecticut,1993,21.61,44.15,179.08,81.46, -   ,38.71
Connecticut,1994,15.88,64.49,208.81,62.15, -   ,13.67
Connecticut,1995,19.84,63.19,210.41,56.96, -   ,14.59
Connecticut,1996,16.4,53.49,186.05,85.86, -   ,23.2
Connecticut,1997,15.41,54.28,206.11,73.65, -   ,15.55
Connecticut,1998,12.61,57.35,229.14,55.05, -   ,10.85
Connecticut,1999,6.52,47.55,238.2,14.96,46.81,10.96
Connecticut,2000,5.58,34.81,231.78,8.44,76.41,7.99
Connecticut,2001,2.44,40.99,219.1,9.6,82.95,9.92
Connecticut,2002,6.54,38.45,227.81,5.26,83.27,3.67
Connecticut,2003,4.76,26.18,223.13,7.93,97.12,5.87
Connecticut,2004,3.2,20.33,220.6,12.33,104.54,4
Connecticut,2005,2.64,32.5,236.85,11.82,81.18, -   
Connecticut,2006,4.09,40.42,237.38,5.45,77.66, -   
Connecticut,2007,1.6,26.22,231.44,3.93,101.66,0.15
Connecticut,2008,1.58,24.54,223.77,1.15,113.96, -   
Connecticut,2009,2.44,22.13,232.65,0.72,106.91,0.14
Connecticut,2010,2.77,28.24,242.41,0.87,90.7, -   
Connecticut,2011,7.31,32.49,246.91,2.11,76.18, -   
Connecticut,2012,0.14,4.2,224.1,0.14,136.26,0.14
Connecticut,2013, -   ,6.66,203.07,0.14,155.13, -   
Connecticut,2014, -   ,6.93,233.66, -   ,124.41, -   
Connecticut,2015,0.29,6.75,236.44, -   ,121.09,0.43
Connecticut,2016, -   ,13.28,254.01, -   ,97.71, -   
Connecticut,2017,0.28,14.86,260.69, -   ,88.74,0.42
Connecticut,2018,0.29,10.58,270.17, -   ,83.53,0.43
Connecticut,2019,1.08,5.67,293.51, -   ,63.94,0.81
Country Of Mexico,1990,115.26, -   ,51.23, -   , -   ,198.51
Country Of Mexico,1991,102.12, -   ,215.36, -   , -   ,47.52
Country Of Mexico,1992,119.07, -   ,185.84, -   , -   ,60.09
Country Of Mexico,1993,170.68, -   ,131.61, -   , -   ,62.72
Country Of Mexico,1994,79.72, -   ,147.92, -   , -   ,137.36
Country Of Mexico,1995,77.48,22.4,152.16, -   , -   ,112.95
Country Of Mexico,1996,59.83,44.99,166.96,28.29, -   ,64.93
Country Of Mexico,1997,105.2,23.21,178.3,12.84, -   ,45.44
Country Of Mexico,1998,97.77,17.69,182.03,8.38, -   ,59.13
Country Of Mexico,1999,87.39,19.02,166.56,23.13, -   ,68.89
Country Of Mexico,2000,75.03,27.62,170.76,14.27, -   ,77.33
Country Of Mexico,2001,56.39,38.96,166.1,22.56, -   ,81
Country Of Mexico,2002,68.29,25.38,190.58,6.46, -   ,74.29
Country Of Mexico,2003,67.85,26.21,180.63,1.87, -   ,88.44
Country Of Mexico,2004,61.76,25.81,176.51, -   , -   ,100.93
Country Of Mexico,2005,51.16,17.97,173.74, -   , -   ,122.13
Country Of Mexico,2006,41.28,15.48,122.13,0.34,17.2,168.57
Country Of Mexico,2007,31,7.03,128.97, -   ,50.43,147.57
Country Of Mexico,2008,33.6,33.14,203.44, -   , -   ,94.82
Country Of Mexico,2009,34.61,72.91,187.81, -   , -   ,69.68
Country Of Mexico,2010,24.89,52.08,213.84, -   , -   ,74.2
Country Of Mexico,2011,52.36,48.83,205.41, -   , -   ,58.4
Country Of Mexico,2012,30.42,55.35,213.91, -   , -   ,65.32
Country Of Mexico,2013,61.75, -   ,227.94, -   , -   ,75.31
Country Of Mexico,2014,82.64, -   ,212.11, -   , -   ,70.25
Country Of Mexico,2015, -   , -   , -   , -   , -   ,365
Country Of Mexico,2016, -   , -   , -   , -   ,288.3,76.7
Country Of Mexico,2017, -   , -   ,133.83, -   ,206.83,24.33
Country Of Mexico,2018, -   , -   ,257.06, -   ,70.3,37.64
Country Of Mexico,2019, -   , -   ,337.12, -   , -   ,27.88
Delaware,1980,5.76,25.56,104.75,228.93, -   , -   
Delaware,1981,26.27,13.72,30.19,294.82, -   , -   
Delaware,1982,7.91,14.57,104.88,237.65, -   , -   
Delaware,1983,2.5,14.67,166.4,181.43, -   , -   
Delaware,1984,5.43,14.6,156.87,188.1, -   , -   
Delaware,1985,5.44,14.61,174,170.61, -   ,0.34
Delaware,1986,2.56,17.94,143.14,199.16, -   ,2.2
Delaware,1987,1.06,19.84,179.67,163.36, -   ,1.06
Delaware,1988,0.36,14.48,143.75,205.31, -   ,1.09
Delaware,1989, -   ,18.42,139.71,204.57, -   ,2.3
Delaware,1990, -   ,23.44,164.51,168.55, -   ,8.49
Delaware,1991,0.37,18.05,159.85,182.68, -   ,4.05
Delaware,1992,1.44,4.32,165.42,188.79, -   ,5.03
Delaware,1993,0.82,10.2,194.12,154.56, -   ,5.3
Delaware,1994,0.4,9.7,213.02,135.41, -   ,6.47
Delaware,1995,0.41,11.41,210.61,133.62, -   ,8.96
Delaware,1996, -   ,13.2,203.74,138.16, -   ,9.9
Delaware,1997, -   ,12.68,220.35,125.23, -   ,6.74
Delaware,1998,0.83,12.06,271.46,80.65, -   , -   
Delaware,1999, -   ,6.8,208.29,44.38,105.54, -   
Delaware,2000, -   , -   ,183.5,32.78,148.72, -   
Delaware,2001, -   ,3.18,197.39,36.54,127.89, -   
Delaware,2002, -   ,5.17,198.4,47.71,113.71, -   
Delaware,2003, -   ,5.22,192.34,48.59,118.45,0.4
Delaware,2004, -   ,4.91,175.54,37.24,147.31, -   
Delaware,2005, -   ,3.68,194.15,44.14,123.03, -   
Delaware,2006, -   ,6.51,189.62,37.84,130.62,0.41
Delaware,2007, -   ,13.15,209.22,16.03,126.6, -   
Delaware,2008, -   ,14.29,208.22,13.06,129.42, -   
Delaware,2009, -   ,11.14,222.3,2.89,128.68, -   
Delaware,2010, -   ,4.11,261.78,1.5,97.61, -   
Delaware,2011, -   ,0.33,271.33, -   ,93.33, -   
Delaware,2012, -   ,2.04,259.31,1.02,102.64, -   
Delaware,2013, -   ,2.01,231.36,0.34,131.29, -   
Delaware,2014, -   ,2.34,218.53,0.33,143.8, -   
Delaware,2015, -   ,2.67,254.67,0.33,107.33, -   
Delaware,2016, -   ,4.66,271.09,0.33,88.92, -   
Delaware,2017, -   ,2.01,249.58,0.33,113.08, -   
Delaware,2018, -   ,1.33,267.33,0.33,96, -   
Delaware,2019,0.45,1.78,298.23, -   ,64.54, -   
District Of Columbia,1980,38.89,54.85,100.72,170.53, -   , -   
District Of Columbia,1981,114,105,63,83, -   , -   
District Of Columbia,1982,78,113,73,101, -   , -   
District Of Columbia,1983,146,73,89,57, -   , -   
District Of Columbia,1984,114.31,72.2,78.21,100.27, -   , -   
District Of Columbia,1985,66.27,148.85,88.7,61.17, -   , -   
District Of Columbia,1986,36.1,164.45,82.23,79.22, -   ,3.01
District Of Columbia,1987,49,134,97,82, -   ,3
District Of Columbia,1988, -   ,233.64,115.21, -   ,16.15, -   
District Of Columbia,1989,22.62,140.86,94.59,41.13,61.69,4.11
District Of Columbia,1990,14,152,60,90,42,7
District Of Columbia,1991,8,130,80,91,55,1
District Of Columbia,1992,7.98,142.61,63.83,76.79,72.8,1
District Of Columbia,1993,17,120,92,68,68, -   
District Of Columbia,1994,16.04,123.34,90.25,74.2,57.16,4.01
District Of Columbia,1995,21.06,120.33,117.32,62.17,42.12,2.01
District Of Columbia,1996,12.96,136.63,113.69,42.88,58.84, -   
District Of Columbia,1997,7,157,115,25,61, -   
District Of Columbia,1998,7,144,129,30,54,1
District Of Columbia,1999,1,72,115,16,161, -   
District Of Columbia,2000, -   ,49.86,76.79,10.97,227.38, -   
District Of Columbia,2001,3,61,85,7,209, -   
District Of Columbia,2002,1,62,109,14,179, -   
District Of Columbia,2003,1,74,63,20,206,1
District Of Columbia,2004, -   ,84.77,55.85,3.99,218.4,1.99
District Of Columbia,2005, -   ,56,90,5,208,6
District Of Columbia,2006,1,56,136,8,162,2
District Of Columbia,2007, -   ,57,134,1,172,1
District Of Columbia,2008,4.99,69.81,120.67,3.99,164.55,1
District Of Columbia,2009,3,72,111,3,176, -   
District Of Columbia,2010, -   ,53,190,1,118,3
District Of Columbia,2011, -   ,26,114,1,224, -   
District Of Columbia,2012, -   ,21.94,138.62, -   ,204.44, -   
District Of Columbia,2013, -   ,26,129, -   ,210, -   
District Of Columbia,2014, -   ,19,181, -   ,165, -   
District Of Columbia,2015, -   ,31,159, -   ,175, -   
District Of Columbia,2016, -   ,30.92,163.55, -   ,170.53, -   
District Of Columbia,2017, -   ,26,136, -   ,203, -   
District Of Columbia,2018, -   ,16,184, -   ,165, -   
District Of Columbia,2019,1.33,27.97,242.45, -   ,93.25, -   
Florida,1980,43.09,12.09,146,163.82, -   , -   
Florida,1981,48.06,17.18,144.89,154.87, -   , -   
Florida,1982,67.58,11,144.49,141.94, -   , -   
Florida,1983,58.86,21.31,144.59,140.23, -   , -   
Florida,1984,53.45,24.71,161.51,125.33, -   , -   
Florida,1985,59.43,16.84,163.99,124.02, -   ,0.72
Florida,1986,42.95,13.03,163.69,143.72, -   ,1.61
Florida,1987,30.58,12.46,179.99,140.35, -   ,1.63
Florida,1988,26.59,18.1,184.57,134.55, -   ,1.18
Florida,1989,32.83,18.08,197.02,114.07,1.11,1.89
Florida,1990,25.37,17.04,217.03,101.61,1.03,2.92
Florida,1991,20.62,20.26,218.39,102.13,1,2.6
Florida,1992,16.77,19.68,222.73,99.37,1.05,5.4
Florida,1993,13.87,16.57,228.75,85.13,4.53,16.16
Florida,1994,14.11,11.29,230.32,86.56,6.13,16.58
Florida,1995,12.07,13.97,247.79,70.1,5.19,15.87
Florida,1996,7.88,12.14,250.88,67.53,5.41,21.16
Florida,1997,7.09,11.47,240.16,60.94,5.56,39.78
Florida,1998,4,7.82,250.3,63.03,5.23,34.63
Florida,1999,1.15,6.68,214.95,60.06,56.89,25.28
Florida,2000,1.54,3.55,226.29,48.65,63.14,21.83
Florida,2001,0.81,3.56,246.16,41.01,59.87,13.59
Florida,2002,0.51,3.88,252.04,32.17,58.93,17.47
Florida,2003,0.57,3.28,247,19.33,66.7,28.12
Florida,2004,0.88,2.27,235.55,17.15,83.86,25.28
Florida,2005,0.06,2.05,232.9,16.31,89.68,24
Florida,2006,0.06,1.43,245.76,18.8,78.12,20.83
Florida,2007,0.23,0.92,231.21,19.74,100.2,12.7
Florida,2008, -   ,0.64,212.86,15,125.93,10.57
Florida,2009, -   ,0.45,210.52,14.44,130.28,9.3
Florida,2010, -   ,0.86,219.36,13.56,121.96,9.25
Florida,2011, -   ,0.4,232.18,11.44,111.8,9.18
Florida,2012, -   ,0.34,244.91,15.16,95.24,9.35
Florida,2013, -   ,0.35,231.8,5.72,117.04,10.09
Florida,2014, -   ,0.92,242.76,12.83,100.94,7.56
Florida,2015,0.03,0.86,236.06,9.34,107.76,10.96
Florida,2016,0.1,1.05,247.53,4.98,99.7,11.64
Florida,2017,0.18,1.16,233.69,3.5,116.07,10.4
Florida,2018,0.08,0.73,245.9,6.04,103.38,8.87
Florida,2019,0.36,0.99,259.31,3.64,90.39,10.3
Georgia,1980,17.33,8.08,92.66,246.93, -   , -   
Georgia,1981,67.32,16.69,242.31,38.67, -   , -   
Georgia,1982,107.16,30.2,183.8,43.84, -   , -   
